task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
AnimalsInBinTask,AnimalsInBinTask,pi05,baseline,1,0,0.0,0.0,1350.0,90.0,12.1,272.8
BagelsOnPlateTask,BagelsOnPlateTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,215.5
BananaInBowlTask,BananaInBowlTask,pi05,baseline,1,1,1.0,1.0,160.0,10.666666666666666,12.1,196.7
BananasInBinOneMoreTask,BananasInBinOneMoreTask,pi05,baseline,1,1,1.0,1.0,210.0,14.0,11.8,228.5
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask,pi05,baseline,1,1,1.0,1.0,257.0,17.133333333333333,12.3,221.1
BlackItemsInBinTask,BlackItemsInBinTask,pi05,baseline,1,0,0.0,0.4000000059604645,1800.0,120.0,12.0,334.6
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask,pi05,baseline,1,0,0.0,0.0,1350.0,90.0,12.0,185.8
ClampInRightBinTask,ClampInRightBinTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,11.9,216.1
CleanUpToysTask,CleanUpToysTask,pi05,baseline,1,0,0.0,0.0,4500.0,300.0,12.0,268.5
CookingClearPlateTask,CookingClearPlateTask,pi05,baseline,1,1,1.0,0.0,826.0,55.06666666666666,12.1,361.7
CookingPickPastaToolTask,CookingPickPastaToolTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,332.9
CubesAndBlocksInBinTask,CubesAndBlocksInBinTask,pi05,baseline,1,0,0.0,0.75,3600.0,240.0,12.0,272.3
FoodPackingByColorTask,FoodPackingByColorTask,pi05,baseline,1,0,0.0,0.0,1800.0,120.0,12.0,275.2
NonHammerToolsInRightBinTask,NonHammerToolsInRightBinTask,pi05,baseline,1,0,0.0,0.0,2700.0,180.0,12.0,228.0
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask,pi05,baseline,1,1,1.0,1.0,1553.0,103.53333333333333,12.0,255.3
PutMugsOnShelfTask,PutMugsOnShelfTask,pi05,baseline,1,0,0.0,0.5,2700.0,180.0,11.9,216.7
ReorientJugTask,ReorientJugTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,234.0
ToolsPickingDrillTask,ToolsPickingDrillTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,265.3
ToolsPickingHammerTask,ToolsPickingHammerTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,269.9
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask,pi05,baseline,1,0,0.0,0.0,900.0,60.0,12.0,236.8
